Model,MAE,RMSE,R2
Baseline,9.41456766728152,26.262907309377496,0.9997074809678819
Linear Regression,9.450965896165206,26.25862125303899,0.9997075764371863
Ridge Regression,9.450434333815453,26.25836839079415,0.9997075820690526
Lasso Regression,9.445843518494259,26.257374943488507,0.9997076041950512
Decision Tree,10.322823432118893,29.270045059394725,0.9996366582463452
Random Forest,9.747763744409445,27.263030657507034,0.9996847778042925
XGBoost,18.48808025357017,87.44973758830373,0.9967567117610231
