Stock,MAE,RMSE,MAPE,R2,Train Records,Test Records,Model Path,Scaler Path,Source_File
IDEA,0.4327,0.5389,4.5314,0.9703,2303.0,576.0,../models/gru_models\IDEA_gru.keras,../models/gru_models\IDEA_scaler.pkl,
INDIGO,114.8882,150.0769,2.3463,0.9342,2132.0,533.0,../models/gru_models\INDIGO_gru.keras,../models/gru_models\INDIGO_scaler.pkl,
INDUSINDBK,26.0968,38.0365,2.838,0.9747,2302.0,576.0,../models/gru_models\INDUSINDBK_gru.keras,../models/gru_models\INDUSINDBK_scaler.pkl,
INDUSTOWER,8.5015,10.7199,2.1425,0.9188,2303.0,576.0,../models/gru_models\INDUSTOWER_gru.keras,../models/gru_models\INDUSTOWER_scaler.pkl,
INFY,33.7586,43.0673,2.1838,0.9718,2302.0,576.0,../models/gru_models\INFY_gru.keras,../models/gru_models\INFY_scaler.pkl,
IOC,3.5288,4.4639,2.3013,0.9196,2303.0,576.0,../models/gru_models\IOC_gru.keras,../models/gru_models\IOC_scaler.pkl,
IRB,0.5861,0.8414,2.2522,0.9655,2303.0,576.0,../models/gru_models\IRB_gru.keras,../models/gru_models\IRB_scaler.pkl,
IRCTC,12.151,15.3757,2.0162,0.9772,1363.0,341.0,../models/gru_models\IRCTC_gru.keras,../models/gru_models\IRCTC_scaler.pkl,
IRFC,2.2147,2.7917,2.1256,0.9631,1104.0,276.0,../models/gru_models\IRFC_gru.keras,../models/gru_models\IRFC_scaler.pkl,
ITC,4.9938,6.7062,1.3147,0.989,2302.0,576.0,../models/gru_models\ITC_gru.keras,../models/gru_models\ITC_scaler.pkl,
JINDALSTEL,27.2453,33.6387,2.6378,0.902,2303.0,576.0,../models/gru_models\JINDALSTEL_gru.keras,../models/gru_models\JINDALSTEL_scaler.pkl,
JSWENERGY,16.0613,21.1916,2.8659,0.9388,2303.0,576.0,../models/gru_models\JSWENERGY_gru.keras,../models/gru_models\JSWENERGY_scaler.pkl,
JSWSTEEL,23.9086,29.9861,2.1721,0.9472,2303.0,576.0,../models/gru_models\JSWSTEEL_gru.keras,../models/gru_models\JSWSTEEL_scaler.pkl,
KOTAKBANK,6.1489,8.1214,1.5541,0.9307,2302.0,576.0,../models/gru_models\KOTAKBANK_gru.keras,../models/gru_models\KOTAKBANK_scaler.pkl,
LODHA,28.4519,37.7301,2.7765,0.9369,1062.0,266.0,../models/gru_models\LODHA_gru.keras,../models/gru_models\LODHA_scaler.pkl,
LT,101.1696,123.1654,2.6806,0.7828,2302.0,576.0,../models/gru_models\LT_gru.keras,../models/gru_models\LT_scaler.pkl,
LUPIN,71.9673,84.0689,3.3993,0.8279,2303.0,576.0,../models/gru_models\LUPIN_gru.keras,../models/gru_models\LUPIN_scaler.pkl,
M&M,98.7304,115.8638,3.0971,0.8772,2303.0,576.0,../models/gru_models\M&M_gru.keras,../models/gru_models\M&M_scaler.pkl,
MARICO,18.0212,21.449,2.466,0.9107,2302.0,576.0,../models/gru_models\MARICO_gru.keras,../models/gru_models\MARICO_scaler.pkl,
MARUTI,163.7171,221.0919,1.2162,0.98,2302.0,576.0,../models/gru_models\MARUTI_gru.keras,../models/gru_models\MARUTI_scaler.pkl,
MPHASIS,61.2219,78.3634,2.3213,0.9244,2303.0,576.0,../models/gru_models\MPHASIS_gru.keras,../models/gru_models\MPHASIS_scaler.pkl,
MUTHOOTFIN,215.0059,282.041,7.0571,0.8303,2303.0,576.0,../models/gru_models\MUTHOOTFIN_gru.keras,../models/gru_models\MUTHOOTFIN_scaler.pkl,
NBCC,2.7955,3.486,2.7784,0.9249,2303.0,576.0,../models/gru_models\NBCC_gru.keras,../models/gru_models\NBCC_scaler.pkl,
NESTLEIND,22.3002,30.6156,1.7656,0.9218,2303.0,576.0,../models/gru_models\NESTLEIND_gru.keras,../models/gru_models\NESTLEIND_scaler.pkl,
NHPC,2.0106,2.671,2.3281,0.9039,2303.0,576.0,../models/gru_models\NHPC_gru.keras,../models/gru_models\NHPC_scaler.pkl,
NMDC,1.7323,2.177,2.1983,0.9221,2303.0,576.0,../models/gru_models\NMDC_gru.keras,../models/gru_models\NMDC_scaler.pkl,
NTPC,6.6303,8.8533,1.8159,0.9121,2303.0,576.0,../models/gru_models\NTPC_gru.keras,../models/gru_models\NTPC_scaler.pkl,
NYKAA,3.9765,5.2096,1.4508,0.9672,950.0,238.0,../models/gru_models\NYKAA_gru.keras,../models/gru_models\NYKAA_scaler.pkl,
OIL,12.1305,16.7806,2.5159,0.9394,2303.0,576.0,../models/gru_models\OIL_gru.keras,../models/gru_models\OIL_scaler.pkl,
ONGC,5.3339,7.2819,2.0048,0.9206,2303.0,576.0,../models/gru_models\ONGC_gru.keras,../models/gru_models\ONGC_scaler.pkl,
PAYTM,67.8681,76.688,5.3994,0.6917,945.0,237.0,../models/gru_models\PAYTM_gru.keras,../models/gru_models\PAYTM_scaler.pkl,
PERSISTENT,187.4207,224.4698,3.4409,0.8956,2303.0,576.0,../models/gru_models\PERSISTENT_gru.keras,../models/gru_models\PERSISTENT_scaler.pkl,
PETRONET,4.058,5.7148,1.3468,0.9601,2303.0,576.0,../models/gru_models\PETRONET_gru.keras,../models/gru_models\PETRONET_scaler.pkl,
PFC,8.0237,11.4363,1.8697,0.9449,2303.0,576.0,../models/gru_models\PFC_gru.keras,../models/gru_models\PFC_scaler.pkl,
PNB,2.0856,2.8161,1.91,0.9204,2303.0,576.0,../models/gru_models\PNB_gru.keras,../models/gru_models\PNB_scaler.pkl,
POLYCAB,161.9243,216.1245,2.1289,0.971,1457.0,365.0,../models/gru_models\POLYCAB_gru.keras,../models/gru_models\POLYCAB_scaler.pkl,
POWERGRID,4.8297,6.4011,1.5902,0.9292,2303.0,576.0,../models/gru_models\POWERGRID_gru.keras,../models/gru_models\POWERGRID_scaler.pkl,
RECLTD,11.0789,15.4493,2.435,0.9683,2303.0,576.0,../models/gru_models\RECLTD_gru.keras,../models/gru_models\RECLTD_scaler.pkl,
RELIANCE,24.9869,31.5012,1.7844,0.8995,2302.0,576.0,../models/gru_models\RELIANCE_gru.keras,../models/gru_models\RELIANCE_scaler.pkl,initial_test_models
SAIL,3.5552,4.7686,2.4342,0.959,2303.0,576.0,../models/gru_models\SAIL_gru.keras,../models/gru_models\SAIL_scaler.pkl,
SBIN,24.6842,32.0218,2.604,0.9288,2302.0,576.0,../models/gru_models\SBIN_gru.keras,../models/gru_models\SBIN_scaler.pkl,initial_test_models
SHREECEM,290.8568,386.0649,1.0825,0.9685,2302.0,576.0,../models/gru_models\SHREECEM_gru.keras,../models/gru_models\SHREECEM_scaler.pkl,
SHRIRAMFIN,33.8485,44.1356,4.0876,0.9451,2303.0,576.0,../models/gru_models\SHRIRAMFIN_gru.keras,../models/gru_models\SHRIRAMFIN_scaler.pkl,
SUNPHARMA,42.3785,49.3849,2.413,0.8139,2302.0,576.0,../models/gru_models\SUNPHARMA_gru.keras,../models/gru_models\SUNPHARMA_scaler.pkl,
TATACONSUM,36.861,42.2852,3.2958,0.7122,2302.0,576.0,../models/gru_models\TATACONSUM_gru.keras,../models/gru_models\TATACONSUM_scaler.pkl,
TATAPOWER,8.6435,11.1647,2.1709,0.8535,2303.0,576.0,../models/gru_models\TATAPOWER_gru.keras,../models/gru_models\TATAPOWER_scaler.pkl,
TATASTEEL,3.3746,4.5199,1.9817,0.9595,2303.0,576.0,../models/gru_models\TATASTEEL_gru.keras,../models/gru_models\TATASTEEL_scaler.pkl,
TCS,54.4332,70.4548,1.6873,0.9899,2302.0,576.0,../models/gru_models\TCS_gru.keras,../models/gru_models\TCS_scaler.pkl,initial_test_models
TECHM,24.4366,31.5371,1.5851,0.9351,2302.0,576.0,../models/gru_models\TECHM_gru.keras,../models/gru_models\TECHM_scaler.pkl,
TITAN,155.6875,183.3032,4.0378,0.8473,2302.0,576.0,../models/gru_models\TITAN_gru.keras,../models/gru_models\TITAN_scaler.pkl,
TORNTPHARM,98.513,132.4278,2.5213,0.9478,2302.0,576.0,../models/gru_models\TORNTPHARM_gru.keras,../models/gru_models\TORNTPHARM_scaler.pkl,
TORNTPOWER,41.6025,56.3866,2.7447,0.8915,2303.0,576.0,../models/gru_models\TORNTPOWER_gru.keras,../models/gru_models\TORNTPOWER_scaler.pkl,
TVSMOTOR,79.8677,113.5892,2.4583,0.9621,2302.0,576.0,../models/gru_models\TVSMOTOR_gru.keras,../models/gru_models\TVSMOTOR_scaler.pkl,
UBL,53.6706,67.5685,2.7954,0.9312,2303.0,576.0,../models/gru_models\UBL_gru.keras,../models/gru_models\UBL_scaler.pkl,
ULTRACEMCO,268.2795,327.5322,2.2975,0.7553,2302.0,576.0,../models/gru_models\ULTRACEMCO_gru.keras,../models/gru_models\ULTRACEMCO_scaler.pkl,
UNIONBANK,3.6635,4.7114,2.534,0.9598,2303.0,576.0,../models/gru_models\UNIONBANK_gru.keras,../models/gru_models\UNIONBANK_scaler.pkl,
VEDL,21.6291,33.0808,4.4427,0.9152,2303.0,576.0,../models/gru_models\VEDL_gru.keras,../models/gru_models\VEDL_scaler.pkl,
WIPRO,5.5217,7.0714,2.1946,0.962,2303.0,576.0,../models/gru_models\WIPRO_gru.keras,../models/gru_models\WIPRO_scaler.pkl,
ZYDUSLIFE,15.0168,20.1675,1.4821,0.9527,2302.0,576.0,../models/gru_models\ZYDUSLIFE_gru.keras,../models/gru_models\ZYDUSLIFE_scaler.pkl,
