Date,Adj Close,Close,High,Low,Open,Volume
2015-01-01,145.9103546142578,158.4499969482422,159.0,155.39999389648438,157.39999389648438,2350082
2015-01-02,147.42974853515625,160.10000610351562,161.1999969482422,158.35000610351562,158.89999389648438,2923839
2015-01-05,144.43699645996094,156.85000610351562,161.9499969482422,155.5,161.0,4830121
2015-01-06,141.25997924804688,153.39999389648438,156.3000030517578,151.14999389648438,156.3000030517578,7054029
2015-01-07,137.1161346435547,148.89999389648438,154.5,146.6999969482422,153.8000030517578,6638158
2015-01-08,140.4772491455078,152.5500030517578,153.1999969482422,148.5500030517578,150.6999969482422,3540099
2015-01-09,142.73341369628906,155.0,155.25,152.10000610351562,153.10000610351562,3743205
2015-01-12,139.14205932617188,151.10000610351562,155.1999969482422,150.5,155.1999969482422,4659450
2015-01-13,139.69454956054688,151.6999969482422,154.39999389648438,150.75,152.10000610351562,4324660
2015-01-14,130.9003448486328,142.14999389648438,151.35000610351562,140.8000030517578,150.9499969482422,13580758
2015-01-15,130.6700897216797,141.89999389648438,145.75,138.35000610351562,143.5500030517578,10860317
2015-01-16,127.585205078125,138.5500030517578,143.39999389648438,137.75,141.5,9096928
2015-01-19,129.15069580078125,140.25,141.6999969482422,139.5,140.9499969482422,8541810
2015-01-20,133.24850463867188,144.6999969482422,145.1999969482422,141.0,141.0,8856169
2015-01-21,131.86721801757812,143.1999969482422,146.35000610351562,140.5,145.64999389648438,8871757
2015-01-22,132.09742736816406,143.4499969482422,144.89999389648438,141.10000610351562,143.0500030517578,6918171
2015-01-23,133.34060668945312,144.8000030517578,146.25,142.10000610351562,145.60000610351562,6943971
2015-01-27,131.2226104736328,142.5,144.5,139.0,139.89999389648438,7886739
2015-01-28,129.05860900878906,140.14999389648438,143.10000610351562,139.64999389648438,141.75,7496686
2015-01-29,131.13052368164062,142.39999389648438,142.89999389648438,138.25,139.89999389648438,10636771
2015-01-30,128.6442108154297,139.6999969482422,143.10000610351562,138.60000610351562,143.0,7570814
2015-02-02,133.7550048828125,145.25,145.6999969482422,139.5,140.0,7296741
2015-02-03,134.8600311279297,146.4499969482422,148.5,142.89999389648438,145.85000610351562,6262548
2015-02-04,140.33914184570312,152.39999389648438,153.8000030517578,146.0,147.0,8349284
2015-02-05,136.33338928222656,148.0500030517578,153.89999389648438,146.75,152.3000030517578,6672029
2015-02-06,135.6427459716797,147.3000030517578,150.0,145.64999389648438,148.0,5623571
2015-02-09,134.95211791992188,146.5500030517578,149.0,145.5,146.3000030517578,9737189
2015-02-10,137.3923797607422,149.1999969482422,153.6999969482422,146.5500030517578,148.5,8706407
2015-02-11,137.990966796875,149.85000610351562,151.5,147.0500030517578,149.5500030517578,6154345
2015-02-12,140.70750427246094,152.8000030517578,153.39999389648438,149.0500030517578,151.8000030517578,10713094
2015-02-13,141.3981170654297,153.5500030517578,156.10000610351562,152.0,153.0,5666609
2015-02-16,139.00387573242188,150.9499969482422,158.0,150.25,157.0,4949268
2015-02-18,139.6485137939453,151.64999389648438,152.4499969482422,149.60000610351562,151.0,3717870
2015-02-19,143.88446044921875,156.25,157.8000030517578,150.10000610351562,151.0,8185032
2015-02-20,144.16073608398438,156.5500030517578,160.6999969482422,155.1999969482422,158.0,6630757
2015-02-23,142.59524536132812,154.85000610351562,161.8000030517578,154.1999969482422,161.60000610351562,6743403
2015-02-24,141.49021911621094,153.64999389648438,156.89999389648438,151.39999389648438,155.0,6455384
2015-02-25,141.49021911621094,153.64999389648438,155.4499969482422,152.25,154.60000610351562,3479311
2015-02-26,137.8988800048828,149.75,154.0,148.0,153.10000610351562,9010829
2015-02-27,142.87152099609375,155.14999389648438,155.8000030517578,149.8000030517578,150.5500030517578,6534491
2015-03-02,144.16073608398438,156.5500030517578,157.39999389648438,153.5,154.1999969482422,4452819
2015-03-03,146.14056396484375,158.6999969482422,159.3000030517578,156.14999389648438,157.5,3718817
2015-03-04,140.98374938964844,153.10000610351562,160.0,152.3000030517578,160.0,5559004
2015-03-05,136.37945556640625,148.10000610351562,154.0,146.89999389648438,153.0500030517578,8404364
2015-03-09,129.65716552734375,140.8000030517578,149.85000610351562,140.0,149.39999389648438,8031261
2015-03-10,127.12479400634766,138.0500030517578,142.60000610351562,136.64999389648438,142.60000610351562,6588296
2015-03-11,120.0341796875,130.35000610351562,138.85000610351562,127.1999969482422,138.85000610351562,21561044
2015-03-12,124.22410583496094,134.89999389648438,135.6999969482422,129.10000610351562,131.75,14242872
2015-03-13,121.27731323242188,131.6999969482422,136.75,131.0500030517578,136.6999969482422,6690050
2015-03-16,116.76512908935548,126.8000030517578,131.39999389648438,123.0999984741211,131.0,10785285
2015-03-17,123.62552642822266,134.25,134.75,126.8000030517578,128.0,9699896
2015-03-18,122.6125717163086,133.14999389648438,134.8000030517578,131.8000030517578,134.0,4154051
2015-03-19,121.82984924316406,132.3000030517578,136.1999969482422,131.3000030517578,134.0,4626972
2015-03-20,121.5996322631836,132.0500030517578,135.0,130.5500030517578,132.14999389648438,4836454
2015-03-23,125.14495086669922,135.89999389648438,136.8000030517578,131.9499969482422,131.9499969482422,6306085
2015-03-24,122.33634185791016,132.85000610351562,135.89999389648438,132.0,135.8000030517578,4386125
2015-03-25,122.3823699951172,132.89999389648438,134.4499969482422,132.35000610351562,133.0,2895061
2015-03-26,119.29749298095705,129.5500030517578,133.39999389648438,128.5500030517578,132.39999389648438,7955596
2015-03-27,123.3492660522461,133.9499969482422,134.4499969482422,130.0500030517578,131.0,5241353
2015-03-30,120.7708511352539,131.14999389648438,134.6999969482422,130.3000030517578,134.25,3651285
2015-03-31,118.79100036621094,129.0,133.4499969482422,128.39999389648438,133.0,8516432
2015-04-01,121.73778533935548,132.1999969482422,132.89999389648438,127.5,129.0,7180617
2015-04-06,124.03990936279295,134.6999969482422,135.10000610351562,132.0,133.39999389648438,5542921
2015-04-07,126.1118392944336,136.9499969482422,137.5500030517578,134.1999969482422,135.0,6514199
2015-04-08,127.03271484375,137.9499969482422,138.89999389648438,136.14999389648438,137.25,6176434
2015-04-09,128.82838439941406,139.89999389648438,140.85000610351562,136.60000610351562,138.60000610351562,6142066
2015-04-10,126.98664855957033,137.89999389648438,139.1999969482422,137.0500030517578,139.0,4860480
2015-04-13,125.32913208007812,136.10000610351562,138.9499969482422,135.10000610351562,138.0,5017864
2015-04-15,124.45429229736328,135.14999389648438,137.39999389648438,134.60000610351562,136.0,8714291
2015-04-16,126.29602813720705,137.14999389648438,137.89999389648438,135.39999389648438,135.85000610351562,5457847
2015-04-17,128.69027709960938,139.75,141.6999969482422,137.60000610351562,138.0,8674061
2015-04-20,127.3089599609375,138.25,141.6999969482422,137.1999969482422,140.89999389648438,5669966
2015-04-21,123.67156982421876,134.3000030517578,139.35000610351562,133.6999969482422,138.39999389648438,6236971
2015-04-22,123.9938507080078,134.64999389648438,135.5,132.60000610351562,133.5,6263990
2015-04-23,124.36222076416016,135.0500030517578,137.0,133.8000030517578,135.5,6782890
2015-04-24,120.7708511352539,131.14999389648438,135.8000030517578,130.10000610351562,134.85000610351562,7487405
2015-04-27,119.7579345703125,130.0500030517578,132.9499969482422,128.25,132.0,4805160
2015-04-28,120.95501708984376,131.35000610351562,132.4499969482422,129.60000610351562,130.89999389648438,6154792
2015-04-29,120.26436614990234,130.60000610351562,131.39999389648438,128.6999969482422,131.39999389648438,7223085
2015-04-30,118.42266845703124,128.60000610351562,130.89999389648438,127.0500030517578,130.0,11618447
2015-05-04,122.6125717163086,133.14999389648438,133.60000610351562,129.5,130.39999389648438,4003261
2015-05-05,128.32192993164062,139.35000610351562,140.1999969482422,132.35000610351562,133.4499969482422,8946517
2015-05-06,126.84854888916016,137.75,142.0,135.0500030517578,138.89999389648438,9503948
2015-05-07,123.67156982421876,134.3000030517578,136.89999389648438,132.25,136.89999389648438,5764064
2015-05-08,127.9535675048828,138.9499969482422,139.5,134.85000610351562,135.1999969482422,4144037
2015-05-11,131.2226104736328,142.5,145.10000610351562,140.1999969482422,140.8000030517578,6190079
2015-05-12,126.7104263305664,137.60000610351562,142.5,136.1999969482422,142.39999389648438,5822453
2015-05-13,122.93489837646484,133.5,136.39999389648438,131.75,134.89999389648438,9200683
2015-05-14,126.57225036621094,137.4499969482422,138.0,132.5,134.10000610351562,3697331
2015-05-15,126.15789794921876,137.0,138.75,134.5500030517578,137.6999969482422,3519076
2015-05-18,128.09170532226562,139.10000610351562,141.85000610351562,137.89999389648438,138.0,5044666
2015-05-19,128.87442016601562,139.9499969482422,140.5500030517578,136.60000610351562,138.85000610351562,4364176
2015-05-20,127.9535675048828,138.9499969482422,140.64999389648438,138.14999389648438,140.64999389648438,3050410
2015-05-21,128.09170532226562,139.10000610351562,139.89999389648438,136.25,137.6999969482422,3942179
2015-05-22,126.06581115722656,136.89999389648438,139.0,136.5,139.0,2577977
2015-05-25,123.85575103759766,134.5,138.39999389648438,133.89999389648438,136.75,2879752
2015-05-26,123.67156982421876,134.3000030517578,135.64999389648438,133.1999969482422,135.14999389648438,2693352
2015-05-27,122.98092651367188,133.5500030517578,134.60000610351562,132.1999969482422,133.0,3168751
2015-05-28,121.1852569580078,131.60000610351562,134.0,129.8000030517578,132.60000610351562,10174628
2015-05-29,119.02122497558594,129.25,133.1999969482422,128.5500030517578,130.9499969482422,11477479
2015-06-01,118.19245147705078,128.35000610351562,129.8000030517578,127.75,128.75,3272418
2015-06-02,113.4960708618164,123.25,129.1999969482422,122.9000015258789,128.9499969482422,4980345
2015-06-03,112.29894256591795,121.9499969482422,124.9000015258789,120.0,124.0500030517578,3508099
2015-06-04,111.70038604736328,121.3000030517578,123.5500030517578,119.0,122.3000030517578,3192106
2015-06-05,110.6414031982422,120.1500015258789,122.3000030517578,119.1500015258789,120.9499969482422,4163808
