Price,Close,High,Low,Open,Volume
Ticker,MARICO.NS,MARICO.NS,MARICO.NS,MARICO.NS,MARICO.NS
Date,,,,,
2005-01-03,6.5852789878845215,6.748299253687446,6.3805550656721985,6.426049432791589,635022
2005-01-04,6.6364617347717285,6.7028072161050956,6.539786181570146,6.615609901590469,3609953
2005-01-05,6.608027458190918,6.748300567748799,6.539785894223509,6.653521834169191,644328
2005-01-06,6.657309532165527,6.748297513111004,6.372971270658071,6.562530111663042,1261082
2005-01-07,6.572009563446045,6.710387280284356,6.454482943473151,6.454482943473151,391865
2005-01-10,6.625086784362793,6.634564291284939,6.539784843113724,6.623190699118397,197436
2005-01-11,6.554951190948486,6.615609874788958,6.4450066878906656,6.615609874788958,285607
2005-01-12,6.2232208251953125,6.4677523170363305,6.075364862850135,6.450691929478241,367804
2005-01-13,6.242178440093994,6.361600445027132,6.217535167006545,6.217535167006545,163988
2005-01-14,6.3521199226379395,6.422256815824309,6.270609439755143,6.342642417774117,108599
2005-01-17,6.3521199226379395,6.482916204146856,6.316103798540853,6.386240691727222,285082
2005-01-18,6.498083591461182,6.558742278781257,6.255448112355734,6.482919284543737,1484639
2005-01-19,6.606128692626953,6.634561933112107,6.49049745664178,6.634561933112107,239402
2005-01-20,6.653520107269287,6.672475849065306,6.494290562497929,6.672475849065306,3349759
2005-01-24,6.642147064208984,6.786210859709083,6.61560843964519,6.653520656189904,438514
2005-01-25,6.517037391662598,6.786210692313088,5.8763281001458605,6.786210692313088,726706
2005-01-27,6.742611885070801,6.795688398926719,6.520828323852242,6.520828323852242,1656924
2005-01-28,6.8806843757629395,7.088958360701546,6.840558006199058,6.840558006199058,807105
2005-01-31,7.060298919677734,7.108068177264108,6.878776035117503,7.050745509562437,3194935
2005-02-01,7.073674201965332,7.165390903016483,6.91699049279018,7.069852396878658,877876
2005-02-02,7.144368648529053,7.165387462909778,6.9552029974502245,7.144368648529054,2465604
2005-02-03,7.257104396820068,7.375572197772433,7.186405822982722,7.2609254641607945,628159
2005-02-04,7.346913814544678,7.409968810685388,7.260928725712132,7.337359670562232,520327
2005-02-07,7.268570899963379,7.490220839397855,7.260928026914872,7.413789901903527,234194
2005-02-08,7.398503303527832,7.45200488536364,7.190229314798071,7.260927912474289,597436
2005-02-09,7.862823009490967,7.948807372156258,7.356468035857926,7.430988454415095,1996892
2005-02-10,8.239242553710938,8.361532205176841,7.795944866115088,8.2124921292567,1311769
2005-02-11,8.269814491271973,8.598466831244778,8.16472186957981,8.407389872291526,997053
2005-02-14,8.397836685180664,9.477423244523633,8.330959889074917,8.751329687983477,1836739
2005-02-15,8.40356731414795,8.75132790734432,8.178096346255812,8.522035135774992,1912273
2005-02-16,8.340513229370117,8.89463735168622,8.256439417401129,8.481910429349671,3051192
2005-02-17,8.086380958557129,8.552607933397864,7.9870206772942165,8.416943089603626,2792876
2005-02-18,7.977468490600586,8.369175902255328,7.891484134197554,8.17618836616372,3771439
2005-02-21,8.468536376953125,9.095269719453661,7.929699398550804,7.987022794410568,3126889
2005-02-22,9.58633804321289,9.78123686559733,8.502930943717788,8.522038498303734,10959796
2005-02-23,9.47551155090332,9.741108189061546,9.248130012905934,9.381883599138607,4087567
2005-02-24,9.513728141784668,9.781236091835979,9.400993357944687,9.513728141784668,1265442
2005-02-25,9.14494800567627,9.553852376850676,9.037944841399467,9.4774229114682,745943
2005-02-28,9.529012680053711,9.553852569463448,8.82776049514059,8.82776049514059,1091684
2005-03-01,9.500349998474121,9.813716592069543,9.366597157842756,9.813716592069543,678946
2005-03-02,9.54812240600586,9.57296303674468,9.400994306061595,9.43920941606452,1197618
2005-03-03,9.208001136779785,9.477420241568412,9.137302558620325,9.477420241568412,274808
2005-03-04,9.049407958984375,9.357042187175448,8.988263514413227,9.357042187175448,378663
2005-03-07,9.263419151306152,9.859579640437389,9.037948065040107,9.05705635778842,1371962
