Price,Close,High,Low,Open,Volume
Ticker,DLF.NS,DLF.NS,DLF.NS,DLF.NS,DLF.NS
Date,,,,,
2007-07-05,474.82904052734375,477.4956933151506,450.0375974625519,467.49578350750346,78022464
2007-07-06,477.9956970214844,487.91229518479844,474.995744244808,480.53738160586727,13723958
2007-07-09,478.9122314453125,484.1205164339249,476.6622421578004,478.4122055691109,4829804
2007-07-10,476.45404052734375,483.3289785847999,474.16239450819165,479.1623494590689,5320406
2007-07-11,492.287353515625,495.2873068866314,472.49586025113734,474.9958383477042,8845447
2007-07-12,508.95379638671875,513.6621080939881,497.4955651950407,497.4955651950407,10483689
2007-07-13,500.87054443359375,520.4120478353971,497.91224752866253,514.9954292430351,6954653
2007-07-16,509.0788269042969,511.9121045262961,502.4955317651558,504.1621836118064,3638993
2007-07-17,510.5369567871094,516.0785415923325,504.2870146940435,512.4952516314065,4929239
2007-07-18,536.1619873046875,540.745280463343,512.4955077405742,512.4955077405742,11156197
2007-07-19,538.4534912109375,553.7449994436322,526.1619355423242,544.9950784591955,14332279
2007-07-20,538.9951171875,547.9533695361692,535.9118015555239,538.3284667200331,5861839
2007-07-23,560.3282470703125,564.161525123627,535.8284500066354,541.6617301777808,5850602
2007-07-24,547.4116821289062,565.6614847567898,544.4116790397962,564.0364894412926,6700235
2007-07-25,530.953369140625,544.994883641889,524.6200647461493,543.7448953766553,4896793
2007-07-26,527.7451782226562,541.2450653128227,524.3702191656562,531.3284687135719,6921512
2007-07-27,499.7453918457031,517.4952176406559,481.9122029702271,516.6618920083844,9518209
2007-07-30,502.9953918457031,513.8286263693568,491.74549445575497,499.74545200590677,4793013
2007-07-31,510.1619567871094,513.8702659834474,496.32872092220884,507.2453171053855,4414524
2007-08-01,487.6205139160156,508.2869794174528,484.24550441664354,508.2869794174528,5785911
2007-08-02,489.12066650390625,499.9955597561672,486.66234482933606,486.66234482933606,3047079
2007-08-03,501.5371398925781,504.4121242326944,494.16222650295975,494.16222650295975,3310188
2007-08-06,483.87066650390625,489.9955910471263,477.0790406028568,483.32898436621304,3152985
2007-08-07,490.5790100097656,499.4956080847998,489.28736492528344,495.8289534622236,2475707
2007-08-08,500.7038269042969,505.5788137441573,492.9122503917485,493.66226401701147,3650963
2007-08-09,496.2455139160156,512.4120547814056,493.4538928307937,508.32873801640557,3705428
2007-08-10,484.9123840332031,493.32895566848646,408.32970992830803,483.3290444049361,8479728
2007-08-13,497.32879638671875,499.1621232053153,489.16221422624386,494.9954944640355,2394561
2007-08-14,502.6621398925781,505.82876780525095,495.70383884615876,498.3288354984185,3557404
2007-08-16,486.53717041015625,491.66214360788297,479.9955842680349,491.66214360788297,4605715
2007-08-17,483.9955139160156,495.82874799005907,471.66230481071165,483.32886358694833,4587036
2007-08-20,483.0790100097656,508.3287733323647,480.82902002094164,499.9955147531456,2613246
2007-08-21,463.6209411621094,499.99564465568534,455.8293627110998,499.99564465568534,3181032
2007-08-22,464.8290710449219,470.74571410550374,442.62097138215177,466.66239778006224,3744083
2007-08-23,462.6624755859375,478.32898981871614,457.4958456628487,478.32898981871614,3953776
2007-08-24,471.5373229980469,476.4956210433971,457.4958054170874,468.0373957774833,3265656
2007-08-27,481.16241455078125,483.12071015046104,474.99578229540805,474.99578229540805,1863935
2007-08-28,488.9539489746094,491.6622580230414,479.2040262278193,480.66234648466735,2126052
2007-08-29,497.12054443359375,499.57886595644,479.07906961652543,479.07906961652543,2567386
2007-08-30,489.4123229980469,508.20381310314264,485.24569322475827,504.1205464426277,4169199
2007-08-31,498.3704833984375,503.2454698347926,491.6622208959355,491.6622208959355,1878346
2007-09-03,508.95379638671875,510.45377284301213,495.91222563095624,496.66223929019134,2059602
2007-09-04,519.8287353515625,521.8703941718567,509.99549897513185,509.99549897513185,2908202
2007-09-05,519.8287353515625,519.8287353515625,519.8287353515625,519.8287353515625,0
2007-09-06,529.911865234375,533.9951308956539,516.6619654528936,516.6619654528936,1947093
2007-09-07,519.6619873046875,534.1618776513247,516.7453467870905,531.3285493750752,1975364
2007-09-10,521.911865234375,525.3701871646439,509.7453306040856,511.6619695030814,1225364
2007-09-11,514.9536743164062,526.1619161948622,512.7869967778663,521.9119242128238,1861898
2007-09-12,529.2034912109375,533.2451514923647,516.661949228706,518.3286006778309,2889338
2007-09-13,537.3287353515625,541.2453787497504,516.6622553115401,516.6622553115401,3852527
2007-09-14,554.2865600585938,557.0781805587137,540.8283308640317,542.5366382236048,4977689
2007-09-17,544.1201782226562,557.4950492772763,542.7868262123093,557.4950492772763,1045346
2007-09-18,548.8429565429688,551.3924507230968,537.5584908274193,544.9978997435705,2005075
2007-09-19,596.1122436523438,601.7962594152341,556.7001902561141,556.7001902561141,10430958
2007-09-20,625.7861938476562,651.155318386399,593.4791733688617,606.0174657639785,9328683
2007-09-21,622.275390625,645.8055527184313,618.1795285035217,618.6810907530453,4920084
2007-09-24,653.1614379882812,655.0839658706388,622.7351626539216,622.7351626539216,7574284
2007-09-25,640.4559936523438,660.0993186471799,618.555765794838,649.4835540845799,2823547
2007-09-26,617.7197875976562,649.4834573252759,614.3762434158016,631.0939643250751,2019527
2007-09-27,619.1408081054688,636.4436595627901,606.9368411512643,625.2427660733531,6409347
2007-09-28,637.9483032226562,640.1215867485208,623.0695403449271,626.9145961271307,3389262
2007-10-01,640.9573974609375,647.5609175038753,630.258066482951,639.4110287131475,2948458
2007-10-03,745.9447631835938,755.3902657470188,651.9911467564439,651.9911467564439,18543792
2007-10-04,721.662353515625,751.2109622446962,711.3391790218058,751.2109622446962,6413863
2007-10-05,711.4226684570312,747.9509027276617,697.1290359686475,730.5644813388465,3488205
2007-10-08,700.2636108398438,731.3585853207534,672.6375842327211,717.650032275032,6115739
2007-10-09,723.3758544921875,728.3911711139912,685.426604979831,685.5937924042456,4423005
2007-10-10,747.7001953125,767.0927650815885,728.0568698906512,735.5798455841252,5713017
2007-10-11,767.970458984375,776.5382926764455,750.6258200467687,764.8358856823979,4063165
2007-10-12,724.587890625,774.0305769348571,715.6021144888772,763.8327556743595,4467083
